"","desc_collapse","category","secr","netgpi_geneswithgpi","sample","gene_copies"
"1","Adhesin AWP3b","adhesin-associated","FALSE",0,"Aspergillus_fumigatus_IP24",0
"2","Adhesin AWP3b","adhesin-associated","FALSE",0,"Candida_albicans_F133-05",0
"3","Adhesin AWP3b","adhesin-associated","FALSE",0,"Candida_dubliniensis_11945",0
"4","Adhesin AWP3b","adhesin-associated","FALSE",0,"Candida_dubliniensis_2747",0
"5","Adhesin AWP3b","adhesin-associated","FALSE",0,"Candida_dubliniensis_8501",0
"6","Adhesin AWP3b","adhesin-associated","FALSE",0,"Candida_metapsilosis_Y-48470",0
"7","Adhesin AWP3b","adhesin-associated","FALSE",0,"Candida_orthopsilosis_Y-48468",0
"8","Adhesin AWP3b","adhesin-associated","FALSE",0,"Candida_parapsilosis_11301",0
"9","Adhesin AWP3b","adhesin-associated","FALSE",0,"Candida_parapsilosis_1954",0
"10","Adhesin AWP3b","adhesin-associated","FALSE",0,"Candida_tropicalis_MYCT-0816",0
"11","Adhesin AWP3b","adhesin-associated","FALSE",0,"Chrysosporium_queenslandicum_28077",0
"12","Adhesin AWP3b","adhesin-associated","FALSE",0,"Cryptococcus_neoformans_KN99",0
"13","Adhesin AWP3b","adhesin-associated","FALSE",0,"Epidermophyton_floccosum_100148",0
"14","Adhesin AWP3b","adhesin-associated","FALSE",0,"Epidermophyton_floccosum_10867",0
"15","Adhesin AWP3b","adhesin-associated","FALSE",0,"Epidermophyton_floccosum_130802",0
"16","Adhesin AWP3b","adhesin-associated","FALSE",0,"Histoplasma_capsulatum_G186A",0
"17","Adhesin AWP3b","adhesin-associated","FALSE",0,"Hortaea_werneckii_100455",0
"18","Adhesin AWP3b","adhesin-associated","FALSE",0,"Hortaea_werneckii_1163",0
"19","Adhesin AWP3b","adhesin-associated","FALSE",0,"Hortaea_werneckii_41051",0
"20","Adhesin AWP3b","adhesin-associated","FALSE",0,"Malassezia_dermatis_9169",0
"21","Adhesin AWP3b","adhesin-associated","FALSE",0,"Malassezia_equina_9969",0
"22","Adhesin AWP3b","adhesin-associated","FALSE",0,"Malassezia_furfur_141402",0
"23","Adhesin AWP3b","adhesin-associated","FALSE",0,"Malassezia_furfur_1878",0
"24","Adhesin AWP3b","adhesin-associated","FALSE",0,"Malassezia_furfur_6000",0
"25","Adhesin AWP3b","adhesin-associated","FALSE",0,"Malassezia_globosa_7705",0
"26","Adhesin AWP3b","adhesin-associated","FALSE",0,"Malassezia_globosa_7886",0
"27","Adhesin AWP3b","adhesin-associated","FALSE",0,"Malassezia_globosa_8744",0
"28","Adhesin AWP3b","adhesin-associated","FALSE",0,"Malassezia_pachydermatis_21004",0
"29","Adhesin AWP3b","adhesin-associated","FALSE",0,"Malassezia_restricta_7877",0
"30","Adhesin AWP3b","adhesin-associated","FALSE",0,"Malassezia_restricta_7991",0
"31","Adhesin AWP3b","adhesin-associated","FALSE",0,"Malassezia_sympodialis_44340",0
"32","Adhesin AWP3b","adhesin-associated","FALSE",0,"Microsporum_audouinii_119449",0
"33","Adhesin AWP3b","adhesin-associated","FALSE",0,"Microsporum_audouinii_33268",0
"34","Adhesin AWP3b","adhesin-associated","FALSE",0,"Microsporum_canis_113480",0
"35","Adhesin AWP3b","adhesin-associated","FALSE",0,"Microsporum_canis_15669",0
"36","Adhesin AWP3b","adhesin-associated","FALSE",0,"Microsporum_canis_44551",0
"37","Adhesin AWP3b","adhesin-associated","FALSE",0,"Microsporum_ferrugineum_131111",0
"38","Adhesin AWP3b","adhesin-associated","FALSE",0,"Microsporum_ferrugineum_37371",0
"39","Adhesin AWP3b","adhesin-associated","FALSE",0,"Nakaseomyces_glabratus_11311",12
"40","Adhesin AWP3b","adhesin-associated","FALSE",0,"Nakaseomyces_glabratus_138",14
"41","Adhesin AWP3b","adhesin-associated","FALSE",0,"Nakaseomyces_glabratus_15698",13
"42","Adhesin AWP3b","adhesin-associated","FALSE",0,"Nannizzia_gypsea_17164",0
"43","Adhesin AWP3b","adhesin-associated","FALSE",0,"Pichia_kudriavzevii_5732",0
"44","Adhesin AWP3b","adhesin-associated","FALSE",0,"Rhodotorula_toruloides_Z1",0
"45","Adhesin AWP3b","adhesin-associated","FALSE",0,"Saccharomyces_cerevisiae_wine010",0
"46","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichophyton_concentricum_109405",0
"47","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichophyton_concentricum_19626",0
"48","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichophyton_indotineae_BE17",0
"49","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichophyton_interdigitale_BE4",0
"50","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichophyton_kuryangei_IHEM13979",0
"51","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichophyton_mentagrophytes_124404",0
"52","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichophyton_mentagrophytes_43573",0
"53","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichophyton_rubrum_117539",0
"54","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichophyton_rubrum_17065",0
"55","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichophyton_rubrum_28986",0
"56","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichophyton_rubrum_73588",0
"57","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichophyton_schoenleinii_45859",0
"58","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichophyton_schoenleinii_85571",0
"59","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichophyton_soudanese_IHEM19743",0
"60","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichophyton_tonsurans_112188",0
"61","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichophyton_tonsurans_12935",0
"62","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichophyton_tonsurans_72988",0
"63","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichophyton_violaceum_73088",0
"64","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichosporon_ovoides_4098",0
"65","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichosporon_ovoides_7612",0
"66","Adhesin AWP3b","adhesin-associated","FALSE",0,"Trichosporon_ovoides_9430",0
"67","Adhesion and hyphal regulator","adhesin-associated","FALSE",0,"Aspergillus_fumigatus_IP24",0
"68","Adhesion and hyphal regulator","adhesin-associated","FALSE",0,"Candida_albicans_F133-05",1
"69","Adhesion and hyphal regulator","adhesin-associated","FALSE",0,"Candida_dubliniensis_11945",1
"70","Adhesion and hyphal regulator","adhesin-associated","FALSE",0,"Candida_dubliniensis_2747",1
"71","Adhesion and hyphal regulator","adhesin-associated","FALSE",0,"Candida_dubliniensis_8501",1
"72","Adhesion and hyphal regulator","adhesin-associated","FALSE",0,"Candida_metapsilosis_Y-48470",1
"73","Adhesion and hyphal regulator","adhesin-associated","FALSE",0,"Candida_orthopsilosis_Y-48468",1
